state	tree1	tree2	MatchingSplit
279	2	84	7.0
280	2	85	7.0
281	2	86	7.0
282	2	87	7.0
283	2	88	4.0
284	2	89	7.0
285	2	90	7.0
286	2	91	7.0
287	2	92	7.0
288	2	93	7.0
289	2	94	7.0
290	2	95	7.0
291	2	96	7.0
292	2	97	4.0
293	2	98	7.0
294	2	99	7.0
295	3	4	7.0
296	3	5	7.0
297	3	6	7.0
298	3	7	2.0
299	3	8	2.0
300	3	9	4.0
301	3	10	7.0
302	3	11	7.0
303	3	12	7.0
304	3	13	8.0
305	3	14	7.0
306	3	15	7.0
307	3	16	6.0
308	3	17	7.0
309	3	18	4.0
310	3	19	16.0
311	3	20	16.0
312	3	21	9.0
313	3	22	9.0
314	3	23	4.0
315	3	24	11.0
316	3	25	7.0
317	3	26	11.0
318	3	27	7.0
319	3	28	11.0
320	3	29	7.0
321	3	30	7.0
322	3	31	7.0
323	3	32	7.0
324	3	33	7.0
325	3	34	7.0
326	3	35	7.0
327	3	36	7.0
328	3	37	7.0
329	3	38	11.0
330	3	39	4.0
331	3	40	13.0
332	3	41	4.0
333	3	42	4.0
334	3	43	4.0
335	3	44	11.0
336	3	45	11.0
337	3	46	11.0
338	3	47	7.0
339	3	48	7.0
340	3	49	11.0
341	3	50	7.0
342	3	51	7.0
343	3	52	4.0
344	3	53	7.0
345	3	54	11.0
346	3	55	11.0
347	3	56	7.0
348	3	57	7.0
349	3	58	7.0
350	3	59	7.0
351	3	60	7.0
352	3	61	7.0
353	3	62	7.0
354	3	63	11.0
355	3	64	7.0
356	3	65	4.0
357	3	66	7.0
358	3	67	7.0
359	3	68	7.0
360	3	69	7.0
361	3	70	7.0
362	3	71	4.0
363	3	72	7.0
364	3	73	4.0
365	3	74	4.0
366	3	75	7.0
367	3	76	7.0
368	3	77	7.0
369	3	78	7.0
370	3	79	7.0
371	3	80	11.0
372	3	81	7.0
373	3	82	4.0
374	3	83	4.0
375	3	84	7.0
376	3	85	7.0
377	3	86	7.0
378	3	87	7.0
379	3	88	4.0
380	3	89	7.0
381	3	90	7.0
382	3	91	7.0
383	3	92	7.0
384	3	93	7.0
385	3	94	7.0
386	3	95	7.0
387	3	96	7.0
388	3	97	4.0
389	3	98	7.0
390	3	99	7.0
391	4	5	0.0
392	4	6	12.0
393	4	7	9.0
394	4	8	9.0
395	4	9	7.0
396	4	10	8.0
397	4	11	10.0
398	4	12	10.0
399	4	13	9.0
400	4	14	8.0
401	4	15	10.0
402	4	16	9.0
403	4	17	10.0
404	4	18	7.0
405	4	19	12.0
406	4	20	12.0
407	4	21	10.0
408	4	22	10.0
409	4	23	7.0
410	4	24	8.0
411	4	25	8.0
412	4	26	8.0
413	4	27	8.0
414	4	28	8.0
415	4	29	8.0
416	4	30	8.0
417	4	31	8.0
418	4	32	8.0
419	4	33	8.0
420	4	34	8.0
421	4	35	10.0
422	4	36	10.0
423	4	37	8.0
424	4	38	8.0
425	4	39	7.0
426	4	40	10.0
427	4	41	7.0
428	4	42	7.0
429	4	43	7.0
430	4	44	4.0
431	4	45	4.0
432	4	46	4.0
433	4	47	8.0
434	4	48	8.0
435	4	49	4.0
436	4	50	8.0
437	4	51	8.0
438	4	52	7.0
439	4	53	8.0
440	4	54	8.0
441	4	55	8.0
442	4	56	8.0
443	4	57	8.0
444	4	58	8.0
445	4	59	8.0
446	4	60	8.0
447	4	61	8.0
448	4	62	8.0
449	4	63	4.0
450	4	64	8.0
451	4	65	7.0
452	4	66	8.0
453	4	67	8.0
454	4	68	8.0
455	4	69	8.0
456	4	70	8.0
457	4	71	7.0
458	4	72	8.0
459	4	73	7.0
460	4	74	7.0
461	4	75	8.0
462	4	76	8.0
463	4	77	8.0
464	4	78	8.0
465	4	79	8.0
466	4	80	4.0
467	4	81	8.0
468	4	82	7.0
469	4	83	7.0
470	4	84	8.0
471	4	85	8.0
472	4	86	8.0
473	4	87	8.0
474	4	88	7.0
475	4	89	8.0
476	4	90	8.0
477	4	91	8.0
478	4	92	8.0
479	4	93	8.0
480	4	94	8.0
481	4	95	8.0
482	4	96	8.0
483	4	97	7.0
484	4	98	10.0
485	4	99	10.0
486	5	6	12.0
487	5	7	9.0
488	5	8	9.0
489	5	9	7.0
490	5	10	8.0
491	5	11	10.0
492	5	12	10.0
493	5	13	9.0
494	5	14	8.0
495	5	15	10.0
496	5	16	9.0
497	5	17	10.0
498	5	18	7.0
499	5	19	12.0
500	5	20	12.0
501	5	21	10.0
502	5	22	10.0
503	5	23	7.0
504	5	24	8.0
505	5	25	8.0
506	5	26	8.0
507	5	27	8.0
508	5	28	8.0
509	5	29	8.0
510	5	30	8.0
511	5	31	8.0
512	5	32	8.0
513	5	33	8.0
514	5	34	8.0
515	5	35	10.0
516	5	36	10.0
517	5	37	8.0
518	5	38	8.0
519	5	39	7.0
520	5	40	10.0
521	5	41	7.0
522	5	42	7.0
523	5	43	7.0
524	5	44	4.0
525	5	45	4.0
526	5	46	4.0
527	5	47	8.0
528	5	48	8.0
529	5	49	4.0
530	5	50	8.0
531	5	51	8.0
532	5	52	7.0
533	5	53	8.0
534	5	54	8.0
535	5	55	8.0
536	5	56	8.0
537	5	57	8.0
538	5	58	8.0
539	5	59	8.0
540	5	60	8.0
541	5	61	8.0
542	5	62	8.0
543	5	63	4.0
544	5	64	8.0
545	5	65	7.0
546	5	66	8.0
547	5	67	8.0
548	5	68	8.0
549	5	69	8.0
550	5	70	8.0
551	5	71	7.0
552	5	72	8.0
553	5	73	7.0
554	5	74	7.0
555	5	75	8.0
556	5	76	8.0
557	5	77	8.0
558	5	78	8.0
