Search rep 1 (of 10)
random seed = 327005
gen	best_like	time	optPrecision
2040	-1480.964246	3	0.402
2050	-1480.960248	3	0.402
2060	-1480.958854	3	0.402
2070	-1480.958808	3	0.402
2080	-1480.958808	3	0.402
2090	-1480.953543	3	0.402
2100	-1480.953543	3	0.402
2110	-1480.940192	3	0.353
2120	-1480.940192	3	0.353
2130	-1480.939938	3	0.353
2140	-1480.939938	3	0.353
2150	-1480.934976	3	0.353
2160	-1480.908925	3	0.353
2170	-1480.908925	3	0.353
2180	-1480.908925	3	0.353
2190	-1480.853033	3	0.353
2200	-1480.847584	3	0.353
2210	-1480.846191	3	0.353
2220	-1480.80795	4	0.353
2230	-1480.80513	4	0.353
2240	-1480.804063	4	0.353
2250	-1480.797339	4	0.353
2260	-1480.797339	4	0.353
2270	-1480.797339	4	0.353
2280	-1480.795317	4	0.353
2290	-1480.795018	4	0.353
2300	-1480.795018	4	0.353
2310	-1480.792032	4	0.353
2320	-1480.792032	4	0.353
2330	-1480.791833	4	0.353
2340	-1480.791425	4	0.353
2350	-1480.791425	4	0.353
2360	-1480.791425	4	0.353
2370	-1480.791425	4	0.353
2380	-1480.791425	4	0.353
2390	-1480.791425	4	0.353
2400	-1480.791425	4	0.353
2410	-1480.791425	4	0.353
2420	-1480.791425	4	0.353
2430	-1480.791425	4	0.353
2440	-1480.790169	4	0.353
2450	-1480.786302	4	0.353
2460	-1480.782502	4	0.353
2470	-1480.782089	4	0.353
2480	-1480.782089	4	0.353
2490	-1480.782089	4	0.353
2500	-1480.782089	4	0.353
2510	-1480.777273	4	0.353
2520	-1480.777273	4	0.353
2530	-1480.777273	4	0.353
2540	-1480.777273	4	0.353
2550	-1480.777273	4	0.353
2560	-1480.777273	4	0.353
2570	-1480.777273	4	0.353
2580	-1480.777273	4	0.353
2590	-1480.777273	4	0.353
2600	-1480.775636	4	0.353
2610	-1480.408426	4	0.304
2620	-1480.406868	4	0.304
2630	-1480.406868	4	0.304
2640	-1480.406868	4	0.304
2650	-1480.406868	4	0.304
2660	-1480.387809	4	0.304
2670	-1480.380172	4	0.304
2680	-1480.380172	4	0.304
2690	-1480.377104	4	0.304
2700	-1480.377104	4	0.304
2710	-1480.369998	4	0.304
2720	-1480.369998	4	0.304
2730	-1480.369998	4	0.304
2740	-1480.369998	4	0.304
2750	-1480.368069	4	0.304
2760	-1480.368069	4	0.304
2770	-1480.364276	4	0.304
2780	-1480.360873	4	0.304
2790	-1480.360216	4	0.304
2800	-1480.360216	4	0.304
2810	-1480.359244	4	0.304
2820	-1480.359244	5	0.304
2830	-1480.359244	5	0.304
2840	-1480.359188	5	0.304
2850	-1480.359188	5	0.304
2860	-1480.358205	5	0.304
2870	-1480.358205	5	0.304
2880	-1480.358205	5	0.304
2890	-1480.358205	5	0.304
2900	-1480.358205	5	0.304
2910	-1480.353906	5	0.304
2920	-1480.353906	5	0.304
2930	-1480.353906	5	0.304
2940	-1480.352207	5	0.304
2950	-1480.352207	5	0.304
2960	-1480.352207	5	0.304
2970	-1480.351181	5	0.304
2980	-1480.351181	5	0.304
2990	-1480.351181	5	0.304
3000	-1480.350212	5	0.304
3010	-1480.350212	5	0.304
3020	-1480.34835	5	0.304
3030	-1480.34835	5	0.304
3040	-1480.34835	5	0.304
3050	-1480.34835	5	0.304
3060	-1480.34835	5	0.304
3070	-1480.345539	5	0.304
3080	-1480.345539	5	0.304
3090	-1480.345539	5	0.304
3100	-1480.345539	5	0.304
3110	-1480.338786	5	0.255
3120	-1480.316636	5	0.255
3130	-1480.316636	5	0.255
3140	-1480.309378	5	0.255
3150	-1480.309043	5	0.255
3160	-1480.309043	5	0.255
3170	-1480.308176	5	0.255
3180	-1480.308176	5	0.255
3190	-1480.308176	5	0.255
3200	-1480.308176	5	0.255
3210	-1480.308176	5	0.255
3220	-1480.308066	5	0.255
3230	-1480.308066	5	0.255
3240	-1480.308066	5	0.255
3250	-1480.308066	5	0.255
3260	-1480.308066	5	0.255
3270	-1480.307803	5	0.255
3280	-1480.307803	5	0.255
3290	-1480.307556	5	0.255
3300	-1480.307556	5	0.255
3310	-1480.307556	5	0.255
3320	-1480.307556	5	0.255
3330	-1480.307556	5	0.255
3340	-1480.306094	5	0.255
3350	-1480.306094	5	0.255
3360	-1480.306094	5	0.255
3370	-1480.306094	5	0.255
3380	-1480.306094	5	0.255
3390	-1480.306094	5	0.255
3400	-1480.306094	5	0.255
3410	-1480.306094	5	0.255
3420	-1480.306094	6	0.255
3430	-1480.306094	6	0.255
3440	-1480.306094	6	0.255
3450	-1480.306094	6	0.255
3460	-1480.306094	6	0.255
3470	-1480.258113	6	0.255
3480	-1480.258113	6	0.255
3490	-1480.236438	6	0.255
3500	-1480.236438	6	0.255
3510	-1480.232037	6	0.255
3520	-1480.22711	6	0.255
3530	-1480.224106	6	0.255
3540	-1480.223418	6	0.255
3550	-1480.222196	6	0.255
3560	-1480.220636	6	0.255
3570	-1480.220636	6	0.255
3580	-1480.220636	6	0.255
3590	-1480.220636	6	0.255
3600	-1480.220254	6	0.255
3610	-1480.204213	6	0.206
3620	-1480.202162	6	0.206
3630	-1480.202162	6	0.206
3640	-1480.20179	6	0.206
3650	-1480.20179	6	0.206
3660	-1480.201574	6	0.206
3670	-1480.201574	6	0.206
3680	-1480.201574	6	0.206
3690	-1480.200014	6	0.206
3700	-1480.200014	6	0.206
3710	-1480.199342	6	0.206
3720	-1480.199342	6	0.206
3730	-1480.199342	6	0.206
3740	-1480.198347	6	0.206
3750	-1480.198347	6	0.206
3760	-1480.198347	6	0.206
3770	-1480.198347	6	0.206
3780	-1480.198347	6	0.206
3790	-1480.198347	6	0.206
3800	-1480.198347	6	0.206
3810	-1480.197886	6	0.206
3820	-1480.196956	6	0.206
3830	-1480.196956	6	0.206
3840	-1480.196956	6	0.206
3850	-1480.196956	6	0.206
3860	-1480.194589	6	0.206
3870	-1480.193701	6	0.206
3880	-1480.192734	6	0.206
3890	-1480.192734	6	0.206
3900	-1480.192734	6	0.206
3910	-1480.192734	6	0.206
3920	-1480.192734	6	0.206
3930	-1480.192138	6	0.206
3940	-1480.192138	6	0.206
3950	-1480.192138	6	0.206
3960	-1480.192138	6	0.206
3970	-1480.191889	7	0.206
3980	-1480.186931	7	0.206
3990	-1480.186931	7	0.206
4000	-1480.186931	7	0.206
4010	-1480.186931	7	0.206
4020	-1480.186931	7	0.206
4030	-1480.186931	7	0.206
4040	-1480.186931	7	0.206
4050	-1480.186931	7	0.206
4060	-1480.186931	7	0.206
4070	-1480.186931	7	0.206
4080	-1480.186931	7	0.206
4090	-1480.186931	7	0.206
4100	-1480.186931	7	0.206
4110	-1479.999662	7	0.157
4120	-1479.995951	7	0.157
4130	-1479.995951	7	0.157
4140	-1479.995951	7	0.157
4150	-1479.995951	7	0.157
4160	-1479.995951	7	0.157
4170	-1479.995951	7	0.157
4180	-1479.976667	7	0.157
4190	-1479.976667	7	0.157
4200	-1479.976667	7	0.157
4210	-1479.976185	7	0.157
4220	-1479.976185	7	0.157
4230	-1479.976185	7	0.157
4240	-1479.976185	7	0.157
4250	-1479.976185	7	0.157
4260	-1479.975397	7	0.157
4270	-1479.975397	7	0.157
4280	-1479.975397	7	0.157
4290	-1479.975259	7	0.157
4300	-1479.975259	7	0.157
4310	-1479.975259	7	0.157
4320	-1479.975259	7	0.157
4330	-1479.975259	7	0.157
4340	-1479.975259	7	0.157
4350	-1479.972479	7	0.157
4360	-1479.972479	7	0.157
4370	-1479.972479	7	0.157
4380	-1479.972284	7	0.157
4390	-1479.972284	7	0.157
4400	-1479.972284	7	0.157
4410	-1479.972284	7	0.157
4420	-1479.972284	7	0.157
4430	-1479.968121	7	0.157
4440	-1479.968121	7	0.157
4450	-1479.968116	7	0.157
4460	-1479.968116	7	0.157
4470	-1479.968116	7	0.157
4480	-1479.968116	7	0.157
4490	-1479.968116	8	0.157
4500	-1479.968116	8	0.157
4510	-1479.968116	8	0.157
4520	-1479.968116	8	0.157
4530	-1479.968116	8	0.157
4540	-1479.968116	8	0.157
4550	-1479.968116	8	0.157
4560	-1479.968116	8	0.157
4570	-1479.968116	8	0.157
4580	-1479.968116	8	0.157
4590	-1479.968116	8	0.157
4600	-1479.968116	8	0.157
4610	-1479.841963	8	0.108
4620	-1479.834263	8	0.108
4630	-1479.834263	8	0.108
4640	-1479.830737	8	0.108
4650	-1479.827489	8	0.108
4660	-1479.827489	8	0.108
4670	-1479.796293	8	0.108
4680	-1479.791393	8	0.108
4690	-1479.776054	8	0.108
4700	-1479.776054	8	0.108
4710	-1479.772749	8	0.108
4720	-1479.772749	8	0.108
4730	-1479.772749	8	0.108
4740	-1479.772749	8	0.108
4750	-1479.772749	8	0.108
4760	-1479.76608	8	0.108
4770	-1479.76608	8	0.108
4780	-1479.762998	8	0.108
4790	-1479.762998	8	0.108
4800	-1479.762998	8	0.108
4810	-1479.762998	8	0.108
4820	-1479.762998	8	0.108
4830	-1479.762767	8	0.108
4840	-1479.761676	8	0.108
4850	-1479.761676	8	0.108
4860	-1479.747231	8	0.108
4870	-1479.747231	8	0.108
4880	-1479.747231	8	0.108
4890	-1479.737927	8	0.108
4900	-1479.737927	8	0.108
4910	-1479.737404	8	0.108
4920	-1479.734922	8	0.108
4930	-1479.732753	8	0.108
4940	-1479.732753	8	0.108
4950	-1479.729276	8	0.108
4960	-1479.729276	8	0.108
4970	-1479.729276	9	0.108
4980	-1479.729152	9	0.108
4990	-1479.729152	9	0.108
5000	-1479.729152	9	0.108
5010	-1479.729152	9	0.108
5020	-1479.729152	9	0.108
5030	-1479.719823	9	0.108
5040	-1479.719823	9	0.108
5050	-1479.71972	9	0.108
5060	-1479.71972	9	0.108
5070	-1479.719025	9	0.108
5080	-1479.719025	9	0.108
5090	-1479.719025	9	0.108
5100	-1479.715289	9	0.108
5110	-1479.713823	9	0.059
5120	-1479.713823	9	0.059
5130	-1479.713823	9	0.059
5140	-1479.713111	9	0.059
5150	-1479.713111	9	0.059
5160	-1479.711602	9	0.059
5170	-1479.711602	9	0.059
5180	-1479.710463	9	0.059
5190	-1479.710463	9	0.059
5200	-1479.708432	9	0.059
5210	-1479.708432	9	0.059
5220	-1479.708432	9	0.059
5230	-1479.682878	9	0.059
5240	-1479.682878	9	0.059
5250	-1479.682878	9	0.059
5260	-1479.682623	9	0.059
5270	-1479.682623	9	0.059
5280	-1479.682349	9	0.059
5290	-1479.682349	9	0.059
5300	-1479.682349	9	0.059
5310	-1479.682219	9	0.059
5320	-1479.68117	9	0.059
5330	-1479.680313	9	0.059
5340	-1479.680313	9	0.059
5350	-1479.680313	9	0.059
5360	-1479.680313	9	0.059
5370	-1479.677125	9	0.059
5380	-1479.674537	9	0.059
5390	-1479.674537	10	0.059
5400	-1479.674537	10	0.059
5410	-1479.674537	10	0.059
5420	-1479.674537	10	0.059
5430	-1479.674537	10	0.059
5440	-1479.674537	10	0.059
5450	-1479.67412	10	0.059
5460	-1479.67412	10	0.059
5470	-1479.672799	10	0.059
5480	-1479.672598	10	0.059
5490	-1479.671396	10	0.059
5500	-1479.669975	10	0.059
5510	-1479.669975	10	0.059
5520	-1479.669975	10	0.059
5530	-1479.669975	10	0.059
5540	-1479.669975	10	0.059
5550	-1479.669975	10	0.059
5560	-1479.665143	10	0.059
5570	-1479.665143	10	0.059
5580	-1479.665143	10	0.059
5590	-1479.665143	10	0.059
5600	-1479.665143	10	0.059
5610	-1479.593826	10	0.01
5620	-1479.59316	10	0.01
5630	-1479.565499	10	0.01
5640	-1479.562129	10	0.01
5650	-1479.562129	10	0.01
5660	-1479.562129	10	0.01
5670	-1479.562129	10	0.01
5680	-1479.559382	10	0.01
5690	-1479.558154	10	0.01
5700	-1479.558154	10	0.01
5710	-1479.557734	10	0.01
5720	-1479.553327	10	0.01
5730	-1479.553327	10	0.01
5740	-1479.553327	11	0.01
5750	-1479.553327	11	0.01
5760	-1479.553327	11	0.01
5770	-1479.553327	11	0.01
5780	-1479.549757	11	0.01
5790	-1479.549757	11	0.01
5800	-1479.549757	11	0.01
5810	-1479.548993	11	0.01
5820	-1479.548993	11	0.01
5830	-1479.548993	11	0.01
5840	-1479.544209	11	0.01
5850	-1479.544209	11	0.01
5860	-1479.540679	11	0.01
5870	-1479.540679	11	0.01
5880	-1479.540679	11	0.01
5890	-1479.540679	11	0.01
5900	-1479.540679	11	0.01
5910	-1479.540679	11	0.01
5920	-1479.540679	11	0.01
5930	-1479.540679	11	0.01
5940	-1479.539353	11	0.01
5950	-1479.539353	11	0.01
5960	-1479.539353	11	0.01
5970	-1479.539353	11	0.01
5980	-1479.539353	11	0.01
5990	-1479.539353	11	0.01
6000	-1479.539353	12	0.01
6010	-1479.539353	12	0.01
6020	-1479.539353	12	0.01
6030	-1479.539353	12	0.01
6040	-1479.539353	12	0.01
6050	-1479.539353	12	0.01
6060	-1479.539353	12	0.01
6070	-1479.539353	12	0.01
6080	-1479.539247	12	0.01
6090	-1479.539247	12	0.01
6100	-1479.539247	12	0.01
6110	-1479.539247	12	0.01
6120	-1479.539086	12	0.01
6130	-1479.539086	12	0.01
6140	-1479.539086	12	0.01
6150	-1479.539086	12	0.01
6160	-1479.539086	12	0.01
6170	-1479.539086	12	0.01
6180	-1479.539086	12	0.01
6190	-1479.539086	12	0.01
6200	-1479.53902	12	0.01
6210	-1479.53902	12	0.01
6220	-1479.53902	12	0.01
6230	-1479.53902	12	0.01
6240	-1479.53902	12	0.01
6250	-1479.53902	12	0.01
6260	-1479.53902	12	0.01
6270	-1479.53902	13	0.01
6280	-1479.538246	13	0.01
6290	-1479.538246	13	0.01
6300	-1479.538246	13	0.01
6310	-1479.538246	13	0.01
6320	-1479.538246	13	0.01
6330	-1479.538178	13	0.01
6340	-1479.538178	13	0.01
6350	-1479.538178	13	0.01
6360	-1479.538178	13	0.01
6370	-1479.538178	13	0.01
6380	-1479.538178	13	0.01
6390	-1479.538178	13	0.01
6400	-1479.538178	13	0.01
