Bootstrap rep 1 (of 100) 
random seed = 114550
gen	best_like	time	optPrecision
2030	-1310.984094	2	0.01
2040	-1310.984094	2	0.01
2050	-1310.984094	2	0.01
2060	-1310.983303	2	0.01
2070	-1310.98314	2	0.01
2080	-1310.98314	2	0.01
2090	-1310.983091	2	0.01
2100	-1310.983091	2	0.01
2110	-1310.983091	2	0.01
2120	-1310.983091	2	0.01
2130	-1310.983091	2	0.01
2140	-1310.983091	2	0.01
2150	-1310.983091	2	0.01
2160	-1310.983091	2	0.01
2170	-1310.983091	2	0.01
2180	-1310.98269	2	0.01
2190	-1310.980617	2	0.01
2200	-1310.980606	3	0.01
2210	-1310.980606	3	0.01
2220	-1310.980606	3	0.01
2230	-1310.980576	3	0.01
2240	-1310.980576	3	0.01
2250	-1310.980576	3	0.01
2260	-1310.980576	3	0.01
2270	-1310.980576	3	0.01
2280	-1310.980249	3	0.01
2290	-1310.979994	3	0.01
2300	-1310.97957	3	0.01
2310	-1310.97957	3	0.01
2320	-1310.97957	3	0.01
2330	-1310.97957	3	0.01
2340	-1310.979041	3	0.01
2350	-1310.979041	3	0.01
2360	-1310.979041	3	0.01
2370	-1310.978894	3	0.01
2380	-1310.978315	3	0.01
2390	-1310.978315	3	0.01
2400	-1310.97661	3	0.01
2410	-1310.97661	3	0.01
2420	-1310.976469	3	0.01
2430	-1310.976469	3	0.01
2440	-1310.973465	3	0.01
2450	-1310.972573	3	0.01
2460	-1310.972573	3	0.01
2470	-1310.972573	3	0.01
2480	-1310.972573	3	0.01
2490	-1310.972336	3	0.01
2500	-1310.972336	3	0.01
2510	-1310.972336	3	0.01
2520	-1310.972336	3	0.01
2530	-1310.972288	3	0.01
2540	-1310.969698	3	0.01
2550	-1310.967759	3	0.01
2560	-1310.965356	3	0.01
2570	-1310.965128	3	0.01
2580	-1310.96511	3	0.01
2590	-1310.96511	3	0.01
2600	-1310.96511	3	0.01
2610	-1310.964625	3	0.01
2620	-1310.963854	3	0.01
2630	-1310.963854	3	0.01
2640	-1310.963548	3	0.01
2650	-1310.963548	3	0.01
2660	-1310.963548	3	0.01
2670	-1310.963548	3	0.01
2680	-1310.963548	3	0.01
2690	-1310.963548	3	0.01
2700	-1310.963548	3	0.01
2710	-1310.963469	3	0.01
2720	-1310.963325	3	0.01
2730	-1310.963325	3	0.01
2740	-1310.963325	3	0.01
2750	-1310.963325	3	0.01
2760	-1310.963325	3	0.01
2770	-1310.963325	3	0.01
2780	-1310.963325	3	0.01
2790	-1310.961167	3	0.01
2800	-1310.961167	4	0.01
2810	-1310.960667	4	0.01
2820	-1310.959869	4	0.01
2830	-1310.959846	4	0.01
2840	-1310.959072	4	0.01
2850	-1310.959072	4	0.01
2860	-1310.958826	4	0.01
2870	-1310.958285	4	0.01
2880	-1310.957457	4	0.01
2890	-1310.957457	4	0.01
2900	-1310.957457	4	0.01
2910	-1310.957419	4	0.01
2920	-1310.956749	4	0.01
2930	-1310.956749	4	0.01
2940	-1310.956749	4	0.01
2950	-1310.956749	4	0.01
2960	-1310.955689	4	0.01
2970	-1310.955684	4	0.01
2980	-1310.955684	4	0.01
2990	-1310.955684	4	0.01
3000	-1310.955684	4	0.01
3010	-1310.955216	4	0.01
3020	-1310.955216	4	0.01
3030	-1310.953869	4	0.01
3040	-1310.953869	4	0.01
3050	-1310.953869	4	0.01
3060	-1310.953869	4	0.01
3070	-1310.953854	4	0.01
3080	-1310.953854	4	0.01
3090	-1310.953854	4	0.01
3100	-1310.953854	4	0.01
3110	-1310.953618	4	0.01
3120	-1310.953618	4	0.01
3130	-1310.953554	4	0.01
3140	-1310.953554	4	0.01
3150	-1310.953554	4	0.01
3160	-1310.953554	4	0.01
3170	-1310.953554	4	0.01
3180	-1310.953554	4	0.01
3190	-1310.953554	4	0.01
3200	-1310.953543	4	0.01
3210	-1310.953543	4	0.01
3220	-1310.953543	4	0.01
3230	-1310.953543	4	0.01
3240	-1310.953543	4	0.01
3250	-1310.953543	4	0.01
3260	-1310.953543	4	0.01
3270	-1310.953543	4	0.01
3280	-1310.953543	4	0.01
3290	-1310.953543	4	0.01
3300	-1310.953543	4	0.01
3310	-1310.953543	4	0.01
3320	-1310.95352	4	0.01
3330	-1310.95351	4	0.01
3340	-1310.95351	4	0.01
3350	-1310.95351	4	0.01
3360	-1310.95351	4	0.01
3370	-1310.95351	4	0.01
3380	-1310.95351	4	0.01
3390	-1310.952508	4	0.01
3400	-1310.952508	5	0.01
3410	-1310.952508	5	0.01
3420	-1310.952508	5	0.01
3430	-1310.952508	5	0.01
3440	-1310.952508	5	0.01
3450	-1310.952508	5	0.01
3460	-1310.952508	5	0.01
3470	-1310.952508	5	0.01
3480	-1310.952508	5	0.01
3490	-1310.952456	5	0.01
3500	-1310.951987	5	0.01
3510	-1310.951303	5	0.01
3520	-1310.951303	5	0.01
3530	-1310.951303	5	0.01
3540	-1310.951303	5	0.01
3550	-1310.951303	5	0.01
3560	-1310.951303	5	0.01
3570	-1310.951303	5	0.01
3580	-1310.951303	5	0.01
3590	-1310.951303	5	0.01
3600	-1310.951303	5	0.01
3610	-1310.951303	5	0.01
3620	-1310.951303	5	0.01
3630	-1310.951303	5	0.01
3640	-1310.951197	5	0.01
3650	-1310.951197	5	0.01
3660	-1310.951197	5	0.01
3670	-1310.951168	5	0.01
3680	-1310.951168	5	0.01
3690	-1310.951168	5	0.01
3700	-1310.951168	5	0.01
3710	-1310.951168	5	0.01
3720	-1310.951168	5	0.01
3730	-1310.951168	5	0.01
3740	-1310.951079	5	0.01
3750	-1310.951079	5	0.01
3760	-1310.951079	5	0.01
3770	-1310.950881	5	0.01
3780	-1310.950881	5	0.01
3790	-1310.950881	5	0.01
3800	-1310.950881	5	0.01
3810	-1310.950881	5	0.01
3820	-1310.950881	5	0.01
3830	-1310.950881	5	0.01
3840	-1310.950881	5	0.01
3850	-1310.950729	5	0.01
3860	-1310.950729	5	0.01
3870	-1310.950729	5	0.01
3880	-1310.950729	5	0.01
3890	-1310.950729	5	0.01
3900	-1310.950729	5	0.01
3910	-1310.950729	5	0.01
3920	-1310.950729	5	0.01
3930	-1310.950729	5	0.01
3940	-1310.950729	5	0.01
3950	-1310.950729	5	0.01
3960	-1310.950729	5	0.01
3970	-1310.950729	5	0.01
3980	-1310.950729	5	0.01
3990	-1310.950729	5	0.01
4000	-1310.950729	5	0.01
4010	-1310.950729	5	0.01
4020	-1310.950729	5	0.01
4030	-1310.950729	6	0.01
4040	-1310.950729	6	0.01
4050	-1310.950729	6	0.01
4060	-1310.950714	6	0.01
4070	-1310.950714	6	0.01
4080	-1310.950714	6	0.01
4090	-1310.950714	6	0.01
4100	-1310.950714	6	0.01
4110	-1310.950714	6	0.01
4120	-1310.950714	6	0.01
4130	-1310.950714	6	0.01
4140	-1310.950714	6	0.01
4150	-1310.950714	6	0.01
4160	-1310.950714	6	0.01
4170	-1310.950714	6	0.01
4180	-1310.950714	6	0.01
4190	-1310.950714	6	0.01
4200	-1310.950714	6	0.01
4210	-1310.950714	6	0.01
4220	-1310.950714	6	0.01
4230	-1310.950714	6	0.01
4240	-1310.950587	6	0.01
4250	-1310.950587	6	0.01
4260	-1310.950587	6	0.01
4270	-1310.950587	6	0.01
4280	-1310.950587	6	0.01
4290	-1310.95057	6	0.01
4300	-1310.95057	6	0.01
4310	-1310.95057	6	0.01
4320	-1310.95057	6	0.01
4330	-1310.950553	6	0.01
4340	-1310.950553	6	0.01
4350	-1310.950405	6	0.01
4360	-1310.950405	6	0.01
4370	-1310.950405	6	0.01
4380	-1310.950405	6	0.01
4390	-1310.949678	6	0.01
4400	-1310.949678	6	0.01
4410	-1310.94946	6	0.01
4420	-1310.94946	6	0.01
4430	-1310.94946	6	0.01
4440	-1310.94946	6	0.01
4450	-1310.94946	6	0.01
4460	-1310.94946	6	0.01
4470	-1310.94946	6	0.01
4480	-1310.94946	6	0.01
