Search rep 1 (of 10)
random seed = 434024
gen	best_like	time	optPrecision
1790	-1375.164557	3	0.01
1800	-1375.16105	3	0.01
1810	-1375.157335	3	0.01
1820	-1375.157335	3	0.01
1830	-1375.157335	3	0.01
1840	-1375.157285	3	0.01
1850	-1375.157285	3	0.01
1860	-1375.157285	3	0.01
1870	-1375.157285	3	0.01
1880	-1375.157285	3	0.01
1890	-1375.157285	3	0.01
1900	-1375.157213	3	0.01
1910	-1375.157189	3	0.01
1920	-1375.157189	3	0.01
1930	-1375.157168	3	0.01
1940	-1375.143199	3	0.01
1950	-1375.141697	3	0.01
1960	-1375.141697	4	0.01
1970	-1375.141697	4	0.01
1980	-1375.141697	4	0.01
1990	-1375.141697	4	0.01
2000	-1375.139722	4	0.01
2010	-1375.139722	4	0.01
2020	-1375.133481	4	0.01
2030	-1375.133481	4	0.01
2040	-1375.133481	4	0.01
2050	-1375.133481	4	0.01
2060	-1375.133481	4	0.01
2070	-1375.133396	4	0.01
2080	-1375.133308	4	0.01
2090	-1375.133308	4	0.01
2100	-1375.133308	4	0.01
2110	-1375.124435	4	0.01
2120	-1375.122257	4	0.01
2130	-1375.122257	4	0.01
2140	-1375.122257	4	0.01
2150	-1375.122257	4	0.01
2160	-1375.122257	4	0.01
2170	-1375.122257	4	0.01
2180	-1375.122257	4	0.01
2190	-1375.122257	4	0.01
2200	-1375.122257	4	0.01
2210	-1375.122206	4	0.01
2220	-1375.122206	4	0.01
2230	-1375.122117	4	0.01
2240	-1375.119204	4	0.01
2250	-1375.115058	4	0.01
2260	-1375.111104	4	0.01
2270	-1375.111104	4	0.01
2280	-1375.111104	4	0.01
2290	-1375.110261	4	0.01
2300	-1375.110261	4	0.01
2310	-1375.109374	4	0.01
2320	-1375.109374	4	0.01
2330	-1375.109374	5	0.01
2340	-1375.109374	5	0.01
2350	-1375.109374	5	0.01
2360	-1375.083359	5	0.01
2370	-1375.083359	5	0.01
2380	-1375.072109	5	0.01
2390	-1375.072109	5	0.01
2400	-1375.070796	5	0.01
2410	-1375.070796	5	0.01
2420	-1375.068635	5	0.01
2430	-1375.067632	5	0.01
2440	-1375.067632	5	0.01
2450	-1375.067632	5	0.01
2460	-1375.067632	5	0.01
2470	-1375.067596	5	0.01
2480	-1375.063647	5	0.01
2490	-1375.061873	5	0.01
2500	-1375.061873	5	0.01
2510	-1375.061873	5	0.01
2520	-1375.061873	5	0.01
2530	-1375.060267	5	0.01
2540	-1375.059064	5	0.01
2550	-1375.059064	5	0.01
2560	-1375.058543	5	0.01
2570	-1375.058497	5	0.01
2580	-1375.057916	5	0.01
2590	-1375.056541	5	0.01
2600	-1375.0486	5	0.01
2610	-1375.046796	5	0.01
2620	-1375.046506	5	0.01
2630	-1375.046237	5	0.01
2640	-1375.032945	5	0.01
2650	-1375.032945	5	0.01
2660	-1375.032945	5	0.01
2670	-1375.012315	5	0.01
2680	-1375.010314	5	0.01
2690	-1375.006846	5	0.01
2700	-1375.006846	6	0.01
2710	-1375.006529	6	0.01
2720	-1375.006529	6	0.01
2730	-1375.004458	6	0.01
2740	-1375.004458	6	0.01
2750	-1375.002985	6	0.01
2760	-1375.002985	6	0.01
2770	-1375.002985	6	0.01
2780	-1375.001981	6	0.01
2790	-1375.001587	6	0.01
2800	-1375.001587	6	0.01
2810	-1374.999112	6	0.01
2820	-1374.9801	6	0.01
2830	-1374.9801	6	0.01
2840	-1374.975586	6	0.01
2850	-1374.973656	6	0.01
2860	-1374.972691	6	0.01
2870	-1374.972691	6	0.01
2880	-1374.964852	6	0.01
2890	-1374.964852	6	0.01
2900	-1374.952747	6	0.01
2910	-1374.952747	6	0.01
2920	-1374.952431	6	0.01
2930	-1374.951675	6	0.01
2940	-1374.951675	6	0.01
2950	-1374.947889	6	0.01
2960	-1374.947889	6	0.01
2970	-1374.936901	6	0.01
2980	-1374.936901	6	0.01
2990	-1374.936901	6	0.01
3000	-1374.93548	6	0.01
3010	-1374.93548	6	0.01
3020	-1374.93548	6	0.01
3030	-1374.93548	6	0.01
3040	-1374.93548	6	0.01
3050	-1374.931819	6	0.01
3060	-1374.931819	6	0.01
3070	-1374.931819	6	0.01
3080	-1374.930515	6	0.01
3090	-1374.93044	7	0.01
3100	-1374.93044	7	0.01
3110	-1374.93023	7	0.01
3120	-1374.926667	7	0.01
3130	-1374.926667	7	0.01
3140	-1374.923872	7	0.01
3150	-1374.923872	7	0.01
3160	-1374.923229	7	0.01
3170	-1374.923229	7	0.01
3180	-1374.923011	7	0.01
3190	-1374.921622	7	0.01
3200	-1374.921622	7	0.01
3210	-1374.918801	7	0.01
3220	-1374.918801	7	0.01
3230	-1374.918801	7	0.01
3240	-1374.918801	7	0.01
3250	-1374.916361	7	0.01
3260	-1374.916361	7	0.01
3270	-1374.908743	7	0.01
3280	-1374.908519	7	0.01
3290	-1374.907517	7	0.01
3300	-1374.906309	7	0.01
3310	-1374.895045	7	0.01
3320	-1374.883984	7	0.01
3330	-1374.875088	7	0.01
3340	-1374.875088	7	0.01
3350	-1374.856394	7	0.01
3360	-1374.854825	7	0.01
3370	-1374.854825	7	0.01
3380	-1374.85233	7	0.01
3390	-1374.85233	7	0.01
3400	-1374.85233	7	0.01
3410	-1374.852004	7	0.01
3420	-1374.851221	7	0.01
3430	-1374.848481	7	0.01
3440	-1374.848481	7	0.01
3450	-1374.848481	7	0.01
3460	-1374.84824	7	0.01
3470	-1374.84824	7	0.01
3480	-1374.84824	8	0.01
3490	-1374.844338	8	0.01
3500	-1374.843705	8	0.01
3510	-1374.813957	8	0.01
3520	-1374.813957	8	0.01
3530	-1374.8124	8	0.01
3540	-1374.8124	8	0.01
3550	-1374.8124	8	0.01
3560	-1374.812335	8	0.01
3570	-1374.809153	8	0.01
3580	-1374.807422	8	0.01
3590	-1374.807422	8	0.01
3600	-1374.804547	8	0.01
3610	-1374.803502	8	0.01
3620	-1374.802433	8	0.01
3630	-1374.802433	8	0.01
3640	-1374.802433	8	0.01
3650	-1374.800309	8	0.01
3660	-1374.799124	8	0.01
3670	-1374.716062	8	0.01
3680	-1374.716062	8	0.01
3690	-1374.715817	8	0.01
3700	-1374.715805	8	0.01
3710	-1374.70248	8	0.01
3720	-1374.701952	8	0.01
3730	-1374.700074	8	0.01
3740	-1374.699379	8	0.01
3750	-1374.697917	8	0.01
3760	-1374.697917	8	0.01
3770	-1374.697917	8	0.01
3780	-1374.697917	8	0.01
3790	-1374.697917	8	0.01
3800	-1374.697917	8	0.01
3810	-1374.697917	8	0.01
3820	-1374.697917	8	0.01
3830	-1374.681968	8	0.01
3840	-1374.678599	8	0.01
3850	-1374.677922	8	0.01
3860	-1374.677922	8	0.01
3870	-1374.677922	9	0.01
3880	-1374.675772	9	0.01
3890	-1374.670975	9	0.01
3900	-1374.670975	9	0.01
3910	-1374.670184	9	0.01
3920	-1374.670184	9	0.01
3930	-1374.670184	9	0.01
3940	-1374.665931	9	0.01
3950	-1374.656733	9	0.01
3960	-1374.655258	9	0.01
3970	-1374.655258	9	0.01
3980	-1374.654458	9	0.01
3990	-1374.653371	9	0.01
4000	-1374.653371	9	0.01
4010	-1374.648589	9	0.01
4020	-1374.648589	9	0.01
4030	-1374.648522	9	0.01
4040	-1374.648522	9	0.01
4050	-1374.648235	9	0.01
4060	-1374.648235	9	0.01
4070	-1374.646857	9	0.01
4080	-1374.588162	9	0.01
4090	-1374.587298	9	0.01
4100	-1374.587298	9	0.01
4110	-1374.587298	9	0.01
4120	-1374.587298	9	0.01
4130	-1374.587298	9	0.01
4140	-1374.580387	9	0.01
4150	-1374.580387	9	0.01
4160	-1374.557624	9	0.01
4170	-1374.554711	9	0.01
4180	-1374.554711	9	0.01
4190	-1374.554711	9	0.01
4200	-1374.552029	9	0.01
4210	-1374.550519	9	0.01
4220	-1374.549824	9	0.01
4230	-1374.549824	9	0.01
4240	-1374.530047	9	0.01
4250	-1374.530047	9	0.01
4260	-1374.528272	9	0.01
4270	-1374.527201	9	0.01
4280	-1374.522459	10	0.01
4290	-1374.522459	10	0.01
4300	-1374.522459	10	0.01
4310	-1374.520695	10	0.01
4320	-1374.520695	10	0.01
4330	-1374.520695	10	0.01
4340	-1374.520695	10	0.01
4350	-1374.519836	10	0.01
4360	-1374.519836	10	0.01
4370	-1374.519836	10	0.01
4380	-1374.519836	10	0.01
4390	-1374.519836	10	0.01
4400	-1374.519463	10	0.01
4410	-1374.517893	10	0.01
4420	-1374.469245	10	0.01
4430	-1374.469245	10	0.01
4440	-1374.469245	10	0.01
4450	-1374.469245	10	0.01
4460	-1374.469245	10	0.01
4470	-1374.469245	10	0.01
4480	-1374.469245	10	0.01
4490	-1374.469245	10	0.01
4500	-1374.468758	10	0.01
4510	-1374.464306	10	0.01
4520	-1374.46423	10	0.01
4530	-1374.432761	10	0.01
4540	-1374.432761	10	0.01
4550	-1374.426775	10	0.01
4560	-1374.426775	10	0.01
4570	-1374.423152	10	0.01
4580	-1374.422687	10	0.01
4590	-1374.422687	10	0.01
4600	-1374.422687	10	0.01
4610	-1374.422687	10	0.01
4620	-1374.422687	10	0.01
4630	-1374.422687	10	0.01
4640	-1374.422687	10	0.01
4650	-1374.422621	10	0.01
4660	-1374.422621	10	0.01
4670	-1374.415372	10	0.01
4680	-1374.415372	10	0.01
4690	-1374.412527	11	0.01
4700	-1374.412527	11	0.01
4710	-1374.412527	11	0.01
4720	-1374.412527	11	0.01
4730	-1374.377754	11	0.01
4740	-1374.377729	11	0.01
4750	-1374.376888	11	0.01
4760	-1374.32933	11	0.01
4770	-1374.32933	11	0.01
4780	-1374.32933	11	0.01
4790	-1374.326804	11	0.01
4800	-1374.323523	11	0.01
4810	-1374.323523	11	0.01
